Problem Number,Directions,Problem,Solution,Alternate Solution,Common Core Category
1,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.551(35),54584/99000,,The Number System
2,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.30(41),3011/9900,,The Number System
3,Rewrite each infinitely repeating decimal as a rational number (fraction).,35.1(39),34788/990,,The Number System
4,Rewrite each infinitely repeating decimal as a rational number (fraction).,5.7(4),517/90,,The Number System
5,Rewrite each infinitely repeating decimal as a rational number (fraction).,8.151(51),807000/99000,,The Number System
6,Rewrite each infinitely repeating decimal as a rational number (fraction).,5.545(9),49914/9000,,The Number System
7,Rewrite each infinitely repeating decimal as a rational number (fraction).,6.41(32),63491/9900,,The Number System
8,Rewrite each infinitely repeating decimal as a rational number (fraction).,3.28(9),2961/900,,The Number System
9,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.5(31),526/990,,The Number System
10,Rewrite each infinitely repeating decimal as a rational number (fraction).,0.83(1),748/900,,The Number System
11,Determine if the number is rational (R) or irrational (I).,SQRT(81),Rational,R,The Number System
12,Determine if the number is rational (R) or irrational (I).,56.5(191),Rational,R,The Number System
13,Determine if the number is rational (R) or irrational (I).,SQRT(83),Irrational,I,The Number System
14,Determine if the number is rational (R) or irrational (I).,24π,Irrational,I,The Number System
15,Determine if the number is rational (R) or irrational (I).,90.790170......,Irrational,I,The Number System
16,Determine if the number is rational (R) or irrational (I).,60/52,Rational,R,The Number System
17,Determine if the number is rational (R) or irrational (I).,70.300722,Rational,R,The Number System
18,Determine if the number is rational (R) or irrational (I).,22,Rational,R,The Number System
19,Determine if the number is rational (R) or irrational (I).,14,Rational,R,The Number System
20,Determine if the number is rational (R) or irrational (I).,22/38,Rational,R,The Number System
21,Determine if the number is rational (R) or irrational (I).,23/24,Rational,R,The Number System
22,Determine if the number is rational (R) or irrational (I).,46.547415,Rational,R,The Number System
23,Determine if the number is rational (R) or irrational (I).,SQRT(64),Rational,R,The Number System
24,Determine if the number is rational (R) or irrational (I).,8/14,Rational,R,The Number System
25,Determine if the number is rational (R) or irrational (I).,SQRT(109),Irrational,I,The Number System
26,Determine if the number is rational (R) or irrational (I).,82.208701......,Irrational,I,The Number System
27,Determine if the number is rational (R) or irrational (I).,11.236(54),Rational,R,The Number System
28,Determine if the number is rational (R) or irrational (I).,SQRT(100),Rational,R,The Number System
29,Determine if the number is rational (R) or irrational (I).,55/51,Rational,R,The Number System
30,Determine if the number is rational (R) or irrational (I).,19.525305,Rational,R,The Number System
31,Decide which whole number the square root is closer to.,Is SQRT(75) closer to 8 or 9?,9,,The Number System
32,Decide which whole number the square root is closer to.,Is SQRT(7) closer to 2 or 3?,3,,The Number System
33,Decide which whole number the square root is closer to.,Is SQRT(65) closer to 8 or 9?,8,,The Number System
34,Decide which whole number the square root is closer to.,Is SQRT(92) closer to 9 or 10?,10,,The Number System
35,Decide which whole number the square root is closer to.,Is SQRT(93) closer to 9 or 10?,10,,The Number System
36,Decide which whole number the square root is closer to.,Is SQRT(3) closer to 1 or 2?,2,,The Number System
37,Decide which whole number the square root is closer to.,Is SQRT(86) closer to 9 or 10?,9,,The Number System
38,Decide which whole number the square root is closer to.,Is SQRT(22) closer to 4 or 5?,5,,The Number System
39,Decide which whole number the square root is closer to.,Is SQRT(88) closer to 9 or 10?,9,,The Number System
40,Decide which whole number the square root is closer to.,Is SQRT(21) closer to 4 or 5?,5,,The Number System
41,Decide which whole number the square root is closer to.,Is SQRT(66) closer to 8 or 9?,8,,The Number System
42,Decide which whole number the square root is closer to.,Is SQRT(97) closer to 9 or 10?,10,,The Number System
43,Decide which whole number the square root is closer to.,Is SQRT(34) closer to 5 or 6?,6,,The Number System
